chr	position	strand
Pf3D7_08_v3	1466882	-
Pf3D7_02_v3	16774	+
Pf3D7_02_v3	941482	-
Pf3D7_09_v3	1521705	+
Pf3D7_03_v3	32216	-
Pf3D7_07_v3	1434087	+
Pf3D7_13_v3	2919138	-
Pf3D7_01_v3	5849	-
Pf3D7_01_v3	7105	-
Pf3D7_13_v3	2910378	+
Pf3D7_08_v3	1460141	-
Pf3D7_02_v3	18095	+
Pf3D7_12_v3	2256161	+
Pf3D7_12_v3	2268715	-
Pf3D7_08_v3	6711	-
Pf3D7_09_v3	10268	-
Pf3D7_03_v3	1066009	+
Pf3D7_01_v3	629268	-
Pf3D7_08_v3	1463734	-
Pf3D7_04_v3	25221	-
Pf3D7_09_v3	1540779	+
Pf3D7_11_v3	11646	-
Pf3D7_01_v3	11980	-
Pf3D7_08_v3	1449905	-
Pf3D7_03_v3	1054632	+
Pf3D7_12_v3	2269712	+
Pf3D7_03_v3	1053180	+
Pf3D7_09_v3	6698	-
Pf3D7_08_v3	1447349	+
Pf3D7_06_v3	1396991	+
Pf3D7_09_v3	1513004	-
Pf3D7_10_v3	26968	+
Pf3D7_08_v3	1459336	-
Pf3D7_10_v3	1655821	-
Pf3D7_13_v3	2895955	+
Pf3D7_06_v3	1413045	+
Pf3D7_07_v3	1443958	-
Pf3D7_01_v3	21925	+
Pf3D7_10_v3	1655336	-
Pf3D7_08_v3	2001	+
Pf3D7_06_v3	1390314	+
Pf3D7_02_v3	18214	+
Pf3D7_12_v3	2266373	-
Pf3D7_06_v3	1412596	+
Pf3D7_09_v3	1507743	+
Pf3D7_02_v3	927829	+
Pf3D7_13_v3	2922106	+
Pf3D7_03_v3	33523	+
Pf3D7_03_v3	26194	-
Pf3D7_12_v3	1724	-
Pf3D7_13_v3	1403	+
Pf3D7_03_v3	2007	-
Pf3D7_07_v3	13554	-
Pf3D7_10_v3	23358	-
Pf3D7_12_v3	2263455	-
Pf3D7_05_v3	5280	+
Pf3D7_08_v3	15412	-
Pf3D7_10_v3	1652949	-
Pf3D7_10_v3	22867	-
Pf3D7_10_v3	1683668	+
Pf3D7_08_v3	1464774	-
Pf3D7_02_v3	21321	-
Pf3D7_12_v3	2262463	-
Pf3D7_12_v3	7611	+
Pf3D7_10_v3	1662663	+
Pf3D7_02_v3	22350	-
Pf3D7_03_v3	25168	+
Pf3D7_10_v3	1657795	+
Pf3D7_01_v3	27498	-
Pf3D7_13_v3	2895698	-
Pf3D7_05_v3	11835	+
Pf3D7_10_v3	5261	+
Pf3D7_12_v3	2264169	+
Pf3D7_06_v3	1397789	+
Pf3D7_04_v3	12134	+
Pf3D7_09_v3	12908	-
Pf3D7_08_v3	1465851	-
Pf3D7_06_v3	1396654	+
Pf3D7_09_v3	19176	+
Pf3D7_13_v3	10191	-
Pf3D7_07_v3	3143	+
Pf3D7_03_v3	231	+
Pf3D7_05_v3	4078	+
Pf3D7_06_v3	448	-
Pf3D7_02_v3	13081	+
Pf3D7_02_v3	932031	+
Pf3D7_09_v3	1522214	-
Pf3D7_04_v3	1197341	+
Pf3D7_13_v3	2911785	+
Pf3D7_03_v3	1040808	+
Pf3D7_02_v3	1190	-
Pf3D7_10_v3	1668550	-
Pf3D7_12_v3	2258493	-
Pf3D7_03_v3	1063660	+
Pf3D7_03_v3	21043	+
Pf3D7_03_v3	27319	-
Pf3D7_08_v3	11909	-
Pf3D7_07_v3	6765	+
Pf3D7_03_v3	1058089	-
Pf3D7_01_v3	17857	-
Pf3D7_07_v3	14110	-
Pf3D7_13_v3	2899781	-
Pf3D7_09_v3	1528243	+
Pf3D7_07_v3	1432184	+
Pf3D7_02_v3	19162	+
Pf3D7_03_v3	1062161	+
Pf3D7_04_v3	17342	-
Pf3D7_10_v3	1685690	-
Pf3D7_12_v3	2261401	-
Pf3D7_12_v3	2250218	+
Pf3D7_13_v3	2912872	-
Pf3D7_13_v3	2918257	+
Pf3D7_13_v3	2897017	-
Pf3D7_01_v3	618334	+
Pf3D7_02_v3	930559	+
Pf3D7_04_v3	23434	+
Pf3D7_08_v3	1459329	-
Pf3D7_02_v3	23677	+
Pf3D7_11_v3	2038054	+
Pf3D7_09_v3	10664	+
Pf3D7_08_v3	13819	-
Pf3D7_02_v3	931875	+
Pf3D7_03_v3	1041740	+
Pf3D7_02_v3	933417	+
Pf3D7_12_v3	9625	+
Pf3D7_08_v3	1449485	-
Pf3D7_10_v3	6123	-
Pf3D7_04_v3	417	+
Pf3D7_05_v3	14786	-
Pf3D7_06_v3	1414740	+
Pf3D7_10_v3	1681291	-
Pf3D7_10_v3	1664785	+
Pf3D7_03_v3	21421	+
Pf3D7_13_v3	19643	+
Pf3D7_02_v3	14340	+
Pf3D7_12_v3	2256127	-
Pf3D7_02_v3	8211	-
Pf3D7_03_v3	1060102	-
Pf3D7_12_v3	7252	+
Pf3D7_03_v3	30222	-
Pf3D7_06_v3	1413510	+
Pf3D7_06_v3	1384667	-
Pf3D7_03_v3	1059992	-
Pf3D7_10_v3	10215	+
Pf3D7_12_v3	8446	+
Pf3D7_12_v3	2255449	+
Pf3D7_04_v3	1188200	-
Pf3D7_08_v3	6723	-
Pf3D7_03_v3	1040585	+
Pf3D7_03_v3	1061707	-
Pf3D7_02_v3	927596	-
Pf3D7_13_v3	7683	+
Pf3D7_12_v3	2253882	-
Pf3D7_10_v3	1656692	+
Pf3D7_08_v3	7598	-
Pf3D7_07_v3	1443727	+
Pf3D7_08_v3	19213	-
Pf3D7_08_v3	7768	+
Pf3D7_06_v3	1401010	+
Pf3D7_02_v3	946777	+
Pf3D7_02_v3	5695	-
Pf3D7_13_v3	2923500	+
Pf3D7_07_v3	2072	-
Pf3D7_13_v3	2900931	-
Pf3D7_02_v3	932042	-
Pf3D7_08_v3	1445347	-
Pf3D7_03_v3	29443	-
Pf3D7_03_v3	1063802	+
Pf3D7_01_v3	11015	-
Pf3D7_02_v3	20281	+
Pf3D7_13_v3	15794	-
Pf3D7_04_v3	22245	+
Pf3D7_09_v3	15428	-
Pf3D7_07_v3	11236	-
Pf3D7_06_v3	1387279	+
Pf3D7_08_v3	18793	-
Pf3D7_03_v3	21969	+
Pf3D7_13_v3	2922136	+
Pf3D7_11_v3	22365	-
Pf3D7_10_v3	1657672	-
Pf3D7_07_v3	7879	+
Pf3D7_02_v3	928723	-
Pf3D7_13_v3	1042	-
Pf3D7_04_v3	1199837	-
Pf3D7_01_v3	638923	-
Pf3D7_04_v3	1199163	+
Pf3D7_10_v3	1683365	+
Pf3D7_09_v3	12470	-
Pf3D7_10_v3	1670029	-
Pf3D7_10_v3	1687342	+
Pf3D7_03_v3	19934	-
Pf3D7_13_v3	13134	-
Pf3D7_06_v3	1390793	-
Pf3D7_09_v3	1532201	+
Pf3D7_01_v3	23547	+
Pf3D7_13_v3	2915143	+
Pf3D7_04_v3	13840	-
Pf3D7_01_v3	620679	-
Pf3D7_07_v3	664	+
Pf3D7_02_v3	15212	-
Pf3D7_02_v3	939888	-
Pf3D7_09_v3	1533177	+
Pf3D7_05_v3	1343536	+
Pf3D7_13_v3	10169	-
Pf3D7_04_v3	23015	-
Pf3D7_10_v3	19777	-
Pf3D7_07_v3	5431	-
Pf3D7_09_v3	1535906	+
Pf3D7_09_v3	1025	-
Pf3D7_07_v3	11733	-
Pf3D7_13_v3	2923364	+
Pf3D7_04_v3	1193856	+
Pf3D7_03_v3	33823	-
Pf3D7_09_v3	1506208	-
Pf3D7_12_v3	8652	-
Pf3D7_01_v3	22431	+
Pf3D7_06_v3	1405787	+
Pf3D7_12_v3	2268887	-
Pf3D7_10_v3	1667832	-
Pf3D7_13_v3	2915271	-
Pf3D7_08_v3	8542	-
Pf3D7_09_v3	1536922	+
Pf3D7_04_v3	3316	-
Pf3D7_13_v3	2901818	+
Pf3D7_05_v3	1949	-
Pf3D7_10_v3	19385	+
Pf3D7_06_v3	1391524	-
Pf3D7_08_v3	1453333	-
Pf3D7_10_v3	23100	-
Pf3D7_07_v3	1433546	-
Pf3D7_12_v3	2252852	-
Pf3D7_06_v3	1384150	-
Pf3D7_09_v3	1512628	+
Pf3D7_04_v3	1198831	+
Pf3D7_06_v3	1402524	-
Pf3D7_06_v3	1418063	-
Pf3D7_02_v3	5217	-
Pf3D7_02_v3	8523	-
Pf3D7_09_v3	1510238	-
Pf3D7_09_v3	1519090	-
Pf3D7_09_v3	1525298	-
Pf3D7_01_v3	23221	-
Pf3D7_04_v3	1188197	+
Pf3D7_03_v3	27848	-
Pf3D7_10_v3	1673866	+
Pf3D7_12_v3	4742	-
Pf3D7_03_v3	1065440	-
Pf3D7_09_v3	1520440	-
Pf3D7_02_v3	3662	+
Pf3D7_03_v3	1066896	-
Pf3D7_02_v3	945132	+
Pf3D7_04_v3	1376	-
Pf3D7_09_v3	1538065	+
Pf3D7_13_v3	19369	+
Pf3D7_03_v3	29926	-
Pf3D7_08_v3	5189	-
Pf3D7_10_v3	17430	+
Pf3D7_13_v3	2910739	+
Pf3D7_09_v3	11920	+
Pf3D7_03_v3	1056910	-
Pf3D7_09_v3	12286	+
Pf3D7_04_v3	14268	+
Pf3D7_13_v3	2915519	+
Pf3D7_06_v3	1401758	+
Pf3D7_09_v3	1504715	+
Pf3D7_01_v3	1014	-
Pf3D7_06_v3	1416783	-
Pf3D7_12_v3	2269514	+
Pf3D7_09_v3	11256	-
Pf3D7_06_v3	1389499	-
Pf3D7_13_v3	15977	+
Pf3D7_12_v3	2329	-
Pf3D7_04_v3	10473	-
Pf3D7_08_v3	6713	-
Pf3D7_07_v3	1427207	+
Pf3D7_09_v3	1534471	+
Pf3D7_04_v3	1190953	+
Pf3D7_03_v3	1048253	+
Pf3D7_13_v3	10369	-
Pf3D7_13_v3	1	-
Pf3D7_11_v3	2037071	-
Pf3D7_13_v3	2910153	-
Pf3D7_10_v3	1663299	-
Pf3D7_10_v3	1681399	+
Pf3D7_10_v3	1659983	+
Pf3D7_07_v3	2701	+
Pf3D7_07_v3	10336	+
Pf3D7_03_v3	1064721	-
Pf3D7_09_v3	1518220	+
Pf3D7_04_v3	1295	+
Pf3D7_03_v3	1067104	+
Pf3D7_08_v3	1456959	-
Pf3D7_06_v3	1389441	-
Pf3D7_03_v3	22221	+
Pf3D7_11_v3	7454	+
Pf3D7_12_v3	15240	+
Pf3D7_02_v3	931032	-
Pf3D7_01_v3	15808	+
Pf3D7_04_v3	1191606	-
Pf3D7_10_v3	1659711	-
Pf3D7_11_v3	11643	-
Pf3D7_02_v3	926824	+
Pf3D7_10_v3	1674514	+
Pf3D7_02_v3	18388	+
Pf3D7_05_v3	19136	-
Pf3D7_14_v3	413	+
Pf3D7_03_v3	10295	+
Pf3D7_02_v3	936833	+
Pf3D7_06_v3	1407544	-
Pf3D7_09_v3	19076	-
Pf3D7_13_v3	512	+
Pf3D7_13_v3	2901322	-
Pf3D7_01_v3	622302	-
Pf3D7_02_v3	930154	-
Pf3D7_10_v3	1667874	-
Pf3D7_03_v3	1064306	+
Pf3D7_12_v3	2250346	-
Pf3D7_09_v3	1534804	-
Pf3D7_02_v3	14978	-
Pf3D7_11_v3	14346	-
Pf3D7_03_v3	24483	-
Pf3D7_06_v3	1387438	+
Pf3D7_08_v3	1465583	-
Pf3D7_07_v3	1431504	-
Pf3D7_09_v3	1523539	+
Pf3D7_09_v3	1529573	+
Pf3D7_13_v3	2912802	-
Pf3D7_14_v3	3291650	+
Pf3D7_08_v3	8060	-
Pf3D7_02_v3	11555	-
Pf3D7_10_v3	1139	-
Pf3D7_13_v3	2916635	+
Pf3D7_04_v3	2775	+
Pf3D7_07_v3	8985	-
Pf3D7_06_v3	1406228	-
Pf3D7_01_v3	617725	+
Pf3D7_09_v3	1541568	+
Pf3D7_04_v3	1188375	+
Pf3D7_10_v3	1651350	-
Pf3D7_11_v3	15359	-
Pf3D7_11_v3	13002	+
Pf3D7_06_v3	1405718	+
Pf3D7_04_v3	20846	+
Pf3D7_10_v3	1668313	-
Pf3D7_10_v3	1681266	+
Pf3D7_07_v3	1433728	+
Pf3D7_12_v3	2261569	+
Pf3D7_02_v3	927949	-
Pf3D7_12_v3	2263199	+
Pf3D7_02_v3	6344	+
Pf3D7_02_v3	940200	-
Pf3D7_08_v3	16301	+
Pf3D7_01_v3	637305	+
Pf3D7_01_v3	639068	-
Pf3D7_01_v3	3514	-
Pf3D7_06_v3	1388225	+
Pf3D7_10_v3	1684933	+
Pf3D7_01_v3	10943	+
Pf3D7_09_v3	1505074	-
Pf3D7_11_v3	6693	-
Pf3D7_02_v3	943374	-
Pf3D7_02_v3	932421	-
Pf3D7_12_v3	1248	+
Pf3D7_11_v3	16839	-
Pf3D7_08_v3	3961	-
Pf3D7_11_v3	8227	+
Pf3D7_02_v3	95	-
Pf3D7_06_v3	1404383	-
Pf3D7_10_v3	12294	-
Pf3D7_03_v3	1064137	-
Pf3D7_10_v3	1663102	+
Pf3D7_07_v3	1430711	+
Pf3D7_10_v3	1656891	+
Pf3D7_07_v3	3922	-
Pf3D7_05_v3	9087	-
Pf3D7_03_v3	3147	+
Pf3D7_03_v3	14524	+
Pf3D7_10_v3	1682296	+
Pf3D7_02_v3	18615	-
Pf3D7_01_v3	631729	+
Pf3D7_03_v3	32237	+
Pf3D7_03_v3	28162	+
Pf3D7_11_v3	15217	-
Pf3D7_06_v3	1413474	+
Pf3D7_13_v3	2897746	+
Pf3D7_02_v3	942966	+
Pf3D7_09_v3	1515213	+
Pf3D7_06_v3	1408947	+
Pf3D7_05_v3	1343520	-
Pf3D7_12_v3	2260495	-
Pf3D7_13_v3	2896625	-
Pf3D7_12_v3	6017	-
Pf3D7_03_v3	14686	-
Pf3D7_03_v3	33811	+
Pf3D7_09_v3	1539571	-
Pf3D7_04_v3	15779	+
Pf3D7_10_v3	26248	+
Pf3D7_08_v3	1456731	-
Pf3D7_08_v3	1456015	+
Pf3D7_11_v3	19506	+
Pf3D7_10_v3	18427	+
Pf3D7_01_v3	15010	+
Pf3D7_01_v3	627190	-
Pf3D7_09_v3	13562	-
Pf3D7_07_v3	1440714	+
Pf3D7_03_v3	1053281	+
Pf3D7_06_v3	1384519	-
Pf3D7_10_v3	1654524	-
Pf3D7_11_v3	3362	+
Pf3D7_08_v3	1457466	-
Pf3D7_05_v3	12372	+
Pf3D7_03_v3	1062312	+
Pf3D7_08_v3	4733	+
Pf3D7_04_v3	21834	-
Pf3D7_08_v3	1463283	+
Pf3D7_09_v3	1506039	+
Pf3D7_01_v3	624536	+
Pf3D7_01_v3	8697	+
Pf3D7_03_v3	32003	-
Pf3D7_12_v3	2269775	+
Pf3D7_09_v3	1534932	+
Pf3D7_03_v3	19058	-
Pf3D7_12_v3	2260426	-
Pf3D7_07_v3	6103	+
Pf3D7_07_v3	15142	-
Pf3D7_13_v3	1764	-
Pf3D7_01_v3	622522	-
Pf3D7_03_v3	4881	-
Pf3D7_08_v3	1458384	-
Pf3D7_03_v3	10820	+
Pf3D7_09_v3	1511528	+
Pf3D7_03_v3	13587	+
Pf3D7_02_v3	20875	+
Pf3D7_03_v3	20141	-
Pf3D7_06_v3	1412081	+
Pf3D7_03_v3	32987	+
Pf3D7_02_v3	944875	-
Pf3D7_12_v3	5704	-
Pf3D7_04_v3	24357	-
Pf3D7_05_v3	18318	+
Pf3D7_01_v3	639835	+
Pf3D7_04_v3	1187865	-
Pf3D7_03_v3	1045717	+
Pf3D7_09_v3	11230	+
Pf3D7_03_v3	33634	-
Pf3D7_12_v3	2269326	+
Pf3D7_13_v3	11678	-
Pf3D7_02_v3	3619	+
Pf3D7_02_v3	10245	-
Pf3D7_02_v3	17317	-
Pf3D7_09_v3	10771	-
Pf3D7_02_v3	8377	+
Pf3D7_12_v3	5568	-
Pf3D7_10_v3	1652972	-
Pf3D7_11_v3	6729	-
Pf3D7_08_v3	13622	+
Pf3D7_13_v3	2901416	+
Pf3D7_01_v3	28545	+
Pf3D7_06_v3	1386290	+
Pf3D7_04_v3	16343	-
Pf3D7_13_v3	2909430	-
Pf3D7_08_v3	1468052	-
Pf3D7_11_v3	20701	-
Pf3D7_03_v3	19617	-
Pf3D7_13_v3	2913624	+
Pf3D7_07_v3	1439721	+
Pf3D7_07_v3	1436477	-
Pf3D7_13_v3	2899644	+
Pf3D7_05_v3	8634	+
Pf3D7_06_v3	1391831	-
Pf3D7_08_v3	1457532	-
Pf3D7_02_v3	14917	+
Pf3D7_04_v3	5809	+
Pf3D7_03_v3	9003	+
Pf3D7_02_v3	19955	-
Pf3D7_12_v3	6139	-
Pf3D7_08_v3	1449947	-
Pf3D7_05_v3	14366	-
Pf3D7_06_v3	1408374	+
Pf3D7_06_v3	1412189	-
Pf3D7_09_v3	1532701	+
Pf3D7_13_v3	20280	+
Pf3D7_13_v3	11753	-
Pf3D7_05_v3	5778	-
Pf3D7_04_v3	1197824	+
Pf3D7_06_v3	1392641	+
Pf3D7_08_v3	1452589	+
Pf3D7_07_v3	16232	-
Pf3D7_09_v3	1537279	-
Pf3D7_08_v3	1453966	+
Pf3D7_04_v3	20247	+
Pf3D7_04_v3	1198981	+
Pf3D7_05_v3	16090	+
Pf3D7_02_v3	122	+
Pf3D7_02_v3	939468	+
Pf3D7_10_v3	4691	+
Pf3D7_05_v3	17048	-
Pf3D7_03_v3	2420	-
Pf3D7_08_v3	1472609	+
Pf3D7_10_v3	1657309	-
Pf3D7_03_v3	1051250	+
Pf3D7_11_v3	5459	-
Pf3D7_13_v3	16640	+
Pf3D7_08_v3	1455511	-
Pf3D7_09_v3	1532121	+
Pf3D7_01_v3	617394	-
Pf3D7_13_v3	2908058	+
Pf3D7_05_v3	1343519	-
Pf3D7_13_v3	18951	+
Pf3D7_08_v3	1450241	-
Pf3D7_01_v3	11334	+
Pf3D7_01_v3	11756	-
Pf3D7_09_v3	1525379	+
Pf3D7_08_v3	1459612	-
Pf3D7_01_v3	3045	-
Pf3D7_10_v3	1678902	-
Pf3D7_12_v3	3669	+
Pf3D7_07_v3	1432722	+
Pf3D7_07_v3	16471	+
Pf3D7_01_v3	19817	-
Pf3D7_10_v3	1665396	-
Pf3D7_04_v3	1198788	+
Pf3D7_12_v3	2258270	-
Pf3D7_05_v3	11391	+
Pf3D7_08_v3	1451304	-
Pf3D7_03_v3	1044416	+
Pf3D7_02_v3	935531	+
Pf3D7_10_v3	1671537	+
Pf3D7_07_v3	1441668	+
Pf3D7_08_v3	7955	+
Pf3D7_13_v3	2921945	+
Pf3D7_13_v3	2912910	+
Pf3D7_12_v3	1140	+
Pf3D7_03_v3	26678	-
Pf3D7_08_v3	1460681	+
Pf3D7_12_v3	2258167	+
Pf3D7_05_v3	9413	-
Pf3D7_02_v3	7318	-
Pf3D7_11_v3	14324	+
Pf3D7_07_v3	11108	-
Pf3D7_08_v3	1457044	-
Pf3D7_13_v3	2902794	-
Pf3D7_09_v3	7662	+
Pf3D7_06_v3	1400756	+
Pf3D7_05_v3	9506	+
Pf3D7_06_v3	1394190	-
Pf3D7_02_v3	14113	-
Pf3D7_10_v3	1659125	-
Pf3D7_11_v3	11682	-
Pf3D7_04_v3	3374	+
Pf3D7_04_v3	13106	+
Pf3D7_12_v3	2266780	-
Pf3D7_01_v3	23500	-
Pf3D7_08_v3	14137	+
Pf3D7_07_v3	14608	+
Pf3D7_09_v3	1506577	-
Pf3D7_02_v3	932112	+
Pf3D7_09_v3	1528721	+
Pf3D7_05_v3	16127	-
Pf3D7_09_v3	11203	+
Pf3D7_01_v3	24529	+
Pf3D7_07_v3	5350	-
Pf3D7_08_v3	3124	+
Pf3D7_03_v3	3118	-
Pf3D7_02_v3	937604	+
Pf3D7_03_v3	24010	+
Pf3D7_04_v3	1186587	+
Pf3D7_02_v3	19003	-
Pf3D7_13_v3	2917047	+
Pf3D7_06_v3	1395960	-
Pf3D7_11_v3	5568	+
Pf3D7_13_v3	2917146	+
Pf3D7_01_v3	632588	-
Pf3D7_09_v3	1510523	-
Pf3D7_12_v3	4146	-
Pf3D7_09_v3	1522387	+
Pf3D7_06_v3	1401219	+
Pf3D7_06_v3	1389199	-
Pf3D7_01_v3	27259	+
Pf3D7_08_v3	7909	+
Pf3D7_13_v3	2905811	-
Pf3D7_13_v3	2895740	-
Pf3D7_01_v3	25164	+
Pf3D7_10_v3	6493	-
Pf3D7_04_v3	27395	-
Pf3D7_12_v3	2260495	+
Pf3D7_01_v3	25138	-
Pf3D7_13_v3	3662	-
Pf3D7_11_v3	3868	+
Pf3D7_02_v3	19426	+
Pf3D7_01_v3	636316	+
Pf3D7_11_v3	12664	-
Pf3D7_02_v3	925073	+
Pf3D7_08_v3	19204	+
Pf3D7_13_v3	8041	+
Pf3D7_08_v3	1470980	+
Pf3D7_06_v3	1413741	+
Pf3D7_06_v3	1413071	-
Pf3D7_01_v3	633024	-
Pf3D7_13_v3	2914978	+
Pf3D7_04_v3	14788	+
Pf3D7_03_v3	895	+
Pf3D7_04_v3	10766	-
Pf3D7_13_v3	2916776	-
Pf3D7_02_v3	19697	-
Pf3D7_12_v3	9093	-
Pf3D7_10_v3	19591	+
Pf3D7_11_v3	508	+
Pf3D7_13_v3	2908546	+
Pf3D7_11_v3	2037230	-
Pf3D7_13_v3	18246	+
Pf3D7_02_v3	7543	+
Pf3D7_10_v3	1659250	-
Pf3D7_08_v3	7171	-
Pf3D7_08_v3	3468	+
Pf3D7_12_v3	2261857	-
Pf3D7_13_v3	2914022	-
Pf3D7_10_v3	22119	-
Pf3D7_07_v3	19043	-
Pf3D7_07_v3	1443	+
Pf3D7_05_v3	4981	-
Pf3D7_05_v3	6058	-
Pf3D7_05_v3	5030	-
Pf3D7_01_v3	636508	-
Pf3D7_01_v3	619212	-
Pf3D7_10_v3	1651865	-
Pf3D7_06_v3	1413387	-
Pf3D7_13_v3	19658	-
Pf3D7_09_v3	4352	-
Pf3D7_01_v3	9565	+
Pf3D7_02_v3	935794	-
Pf3D7_03_v3	18984	+
Pf3D7_13_v3	2924950	-
Pf3D7_03_v3	14588	-
Pf3D7_07_v3	1427203	-
Pf3D7_13_v3	8643	-
Pf3D7_13_v3	2911311	+
Pf3D7_03_v3	1054039	+
Pf3D7_01_v3	628587	-
Pf3D7_02_v3	945341	-
Pf3D7_01_v3	636009	-
Pf3D7_03_v3	9086	-
Pf3D7_08_v3	1454421	-
Pf3D7_13_v3	13649	+
Pf3D7_08_v3	8351	+
Pf3D7_09_v3	8234	-
Pf3D7_03_v3	6062	-
Pf3D7_10_v3	1660151	-
Pf3D7_09_v3	14239	-
Pf3D7_12_v3	13698	-
Pf3D7_13_v3	2918477	-
Pf3D7_04_v3	1187025	-
Pf3D7_01_v3	619140	+
Pf3D7_03_v3	5765	-
Pf3D7_06_v3	1397121	-
Pf3D7_13_v3	2910095	+
Pf3D7_05_v3	17986	-
Pf3D7_10_v3	1683924	-
Pf3D7_08_v3	56	-
Pf3D7_03_v3	25539	+
Pf3D7_04_v3	8293	-
Pf3D7_09_v3	1511540	+
Pf3D7_09_v3	1524987	-
Pf3D7_06_v3	1384600	-
Pf3D7_03_v3	12059	-
Pf3D7_10_v3	15247	-
Pf3D7_02_v3	930534	+
Pf3D7_13_v3	12132	-
Pf3D7_03_v3	16605	-
Pf3D7_02_v3	19385	+
Pf3D7_07_v3	1430290	+
Pf3D7_08_v3	1162	+
Pf3D7_07_v3	1436634	-
Pf3D7_06_v3	1392365	-
Pf3D7_13_v3	2916028	-
Pf3D7_07_v3	1428682	-
Pf3D7_07_v3	11271	+
Pf3D7_06_v3	1417888	-
Pf3D7_01_v3	618045	+
Pf3D7_08_v3	1452896	+
Pf3D7_03_v3	30479	+
Pf3D7_09_v3	1524178	+
Pf3D7_01_v3	620104	-
Pf3D7_13_v3	2900531	-
Pf3D7_07_v3	14984	-
Pf3D7_12_v3	2268459	+
Pf3D7_07_v3	7064	+
Pf3D7_01_v3	627619	+
Pf3D7_11_v3	18253	-
Pf3D7_09_v3	1510754	+
Pf3D7_10_v3	1658377	+
Pf3D7_06_v3	1410388	-
Pf3D7_09_v3	1511121	-
Pf3D7_12_v3	12526	-
Pf3D7_09_v3	1522803	+
Pf3D7_04_v3	1200297	-
Pf3D7_09_v3	1505334	+
Pf3D7_09_v3	1539701	-
Pf3D7_13_v3	2900913	+
Pf3D7_05_v3	707	-
Pf3D7_06_v3	1408632	-
Pf3D7_11_v3	12418	-
Pf3D7_07_v3	1442244	+
Pf3D7_10_v3	2992	+
Pf3D7_07_v3	1583	-
Pf3D7_03_v3	20475	-
Pf3D7_10_v3	1683306	+
Pf3D7_02_v3	9839	+
Pf3D7_03_v3	28786	+
Pf3D7_09_v3	17418	+
Pf3D7_10_v3	1682849	+
Pf3D7_12_v3	2260771	+
Pf3D7_03_v3	1059274	+
Pf3D7_02_v3	12747	+
Pf3D7_13_v3	2915006	-
Pf3D7_02_v3	937249	+
Pf3D7_03_v3	18953	+
Pf3D7_04_v3	12125	+
Pf3D7_08_v3	13284	-
Pf3D7_12_v3	2266062	+
Pf3D7_10_v3	1684673	+
Pf3D7_10_v3	16932	+
Pf3D7_03_v3	3629	+
Pf3D7_04_v3	1192465	+
Pf3D7_07_v3	6187	+
Pf3D7_02_v3	924952	-
Pf3D7_03_v3	1041222	+
Pf3D7_04_v3	16413	+
Pf3D7_02_v3	22910	-
Pf3D7_08_v3	10288	-
Pf3D7_10_v3	12294	-
Pf3D7_01_v3	617933	+
Pf3D7_07_v3	13231	+
Pf3D7_10_v3	1652814	+
Pf3D7_10_v3	1681796	-
Pf3D7_11_v3	19037	+
Pf3D7_06_v3	1417929	-
Pf3D7_11_v3	6629	-
Pf3D7_03_v3	1043798	-
Pf3D7_05_v3	6034	+
Pf3D7_03_v3	28858	-
Pf3D7_07_v3	4287	+
Pf3D7_05_v3	17876	-
Pf3D7_03_v3	1043579	-
Pf3D7_10_v3	1652570	-
Pf3D7_04_v3	6089	+
Pf3D7_03_v3	1060880	-
Pf3D7_02_v3	14605	+
Pf3D7_06_v3	1395772	+
Pf3D7_04_v3	18210	+
Pf3D7_05_v3	13065	-
Pf3D7_03_v3	1055130	-
Pf3D7_10_v3	1669730	+
Pf3D7_13_v3	2075	-
Pf3D7_07_v3	1431716	-
Pf3D7_09_v3	1523958	+
Pf3D7_12_v3	2198	-
Pf3D7_14_v3	603	-
Pf3D7_09_v3	2248	+
Pf3D7_12_v3	2266851	+
Pf3D7_12_v3	2251925	-
Pf3D7_10_v3	1654181	+
Pf3D7_07_v3	12495	-
Pf3D7_01_v3	621249	+
Pf3D7_01_v3	10098	+
Pf3D7_07_v3	6157	+
Pf3D7_07_v3	1430930	-
Pf3D7_06_v3	1409947	-
Pf3D7_08_v3	1464019	-
Pf3D7_08_v3	1451098	+
Pf3D7_11_v3	16016	-
Pf3D7_02_v3	17301	-
Pf3D7_03_v3	19461	+
Pf3D7_10_v3	1672104	-
Pf3D7_12_v3	15194	+
Pf3D7_13_v3	2908090	-
Pf3D7_12_v3	6263	-
Pf3D7_12_v3	2261433	+
Pf3D7_04_v3	23202	+
Pf3D7_06_v3	1408129	-
Pf3D7_03_v3	1041299	+
Pf3D7_09_v3	8828	+
Pf3D7_13_v3	15126	+
Pf3D7_04_v3	1185393	-
Pf3D7_08_v3	1472476	+
Pf3D7_04_v3	22431	+
Pf3D7_03_v3	30558	-
Pf3D7_03_v3	2950	+
Pf3D7_01_v3	630281	-
Pf3D7_13_v3	2910410	-
Pf3D7_06_v3	1405245	-
Pf3D7_11_v3	19827	+
Pf3D7_09_v3	1517393	-
Pf3D7_03_v3	19274	-
Pf3D7_03_v3	24526	+
Pf3D7_11_v3	17563	+
Pf3D7_03_v3	1061350	+
Pf3D7_13_v3	6889	+
Pf3D7_02_v3	947062	+
Pf3D7_09_v3	1504457	+
Pf3D7_11_v3	11484	+
Pf3D7_03_v3	1056689	+
