chr	position	strand
Pf3D7_07_v3	4069	+
Pf3D7_11_v3	2489	+
Pf3D7_10_v3	67	+
Pf3D7_06_v3	1386286	-
Pf3D7_08_v3	1459250	-
Pf3D7_06_v3	1388708	+
Pf3D7_08_v3	1449841	-
Pf3D7_08_v3	2398	-
Pf3D7_09_v3	1531356	+
Pf3D7_07_v3	1438567	+
Pf3D7_13_v3	19672	-
Pf3D7_06_v3	1387302	-
Pf3D7_01_v3	5999	-
Pf3D7_03_v3	1052274	-
Pf3D7_07_v3	1438812	-
Pf3D7_08_v3	2647	-
Pf3D7_08_v3	1450330	+
Pf3D7_10_v3	11638	-
Pf3D7_03_v3	1039652	-
Pf3D7_09_v3	1518973	+
Pf3D7_10_v3	20944	-
Pf3D7_06_v3	1401759	-
Pf3D7_06_v3	1398533	+
Pf3D7_03_v3	17611	+
Pf3D7_06_v3	1416389	-
Pf3D7_10_v3	1669966	-
Pf3D7_12_v3	2261330	-
Pf3D7_08_v3	1470833	+
Pf3D7_04_v3	4372	-
Pf3D7_09_v3	1507707	+
Pf3D7_10_v3	12419	+
Pf3D7_04_v3	1187234	+
Pf3D7_11_v3	4732	-
Pf3D7_01_v3	618709	-
Pf3D7_01_v3	25230	+
Pf3D7_02_v3	14896	+
Pf3D7_02_v3	940067	+
Pf3D7_12_v3	2252247	+
Pf3D7_06_v3	1395302	+
Pf3D7_03_v3	1057037	-
Pf3D7_06_v3	1401800	+
Pf3D7_06_v3	1407617	+
Pf3D7_04_v3	18583	+
Pf3D7_02_v3	933749	-
Pf3D7_09_v3	1533562	+
Pf3D7_02_v3	930251	+
Pf3D7_10_v3	1653724	-
Pf3D7_03_v3	32968	+
Pf3D7_10_v3	622	+
Pf3D7_11_v3	6615	-
Pf3D7_02_v3	2776	-
Pf3D7_01_v3	621534	-
Pf3D7_13_v3	2906241	+
Pf3D7_07_v3	2540	+
Pf3D7_09_v3	8971	-
Pf3D7_01_v3	26646	-
Pf3D7_03_v3	1043068	-
Pf3D7_07_v3	1443869	-
Pf3D7_12_v3	2258643	-
Pf3D7_03_v3	1056218	-
Pf3D7_10_v3	1667059	-
Pf3D7_09_v3	1516013	-
Pf3D7_02_v3	2646	-
Pf3D7_04_v3	16470	-
Pf3D7_03_v3	1065568	+
Pf3D7_06_v3	1401555	-
Pf3D7_09_v3	1526647	+
Pf3D7_06_v3	1405837	+
Pf3D7_03_v3	1050337	+
Pf3D7_10_v3	3330	-
Pf3D7_08_v3	1458744	+
Pf3D7_08_v3	17682	+
Pf3D7_08_v3	1453249	+
Pf3D7_03_v3	31455	+
Pf3D7_09_v3	1536252	+
Pf3D7_05_v3	4932	+
Pf3D7_05_v3	11583	-
Pf3D7_02_v3	941357	+
Pf3D7_08_v3	1458402	-
Pf3D7_09_v3	13442	-
Pf3D7_04_v3	1198757	-
Pf3D7_12_v3	10194	-
Pf3D7_11_v3	2037975	-
Pf3D7_02_v3	19422	-
Pf3D7_10_v3	22442	+
Pf3D7_06_v3	552	-
Pf3D7_14_v3	3291609	+
Pf3D7_03_v3	663	-
Pf3D7_04_v3	4251	-
Pf3D7_06_v3	1392114	-
Pf3D7_03_v3	1059034	-
Pf3D7_09_v3	1523289	+
Pf3D7_07_v3	9182	+
Pf3D7_03_v3	328	-
Pf3D7_07_v3	1439443	+
Pf3D7_12_v3	2257619	+
Pf3D7_10_v3	1678826	+
Pf3D7_07_v3	1429037	-
Pf3D7_04_v3	8198	+
Pf3D7_03_v3	1975	-
Pf3D7_12_v3	2255882	+
Pf3D7_10_v3	25494	+
Pf3D7_08_v3	1458286	+
Pf3D7_12_v3	2259263	+
Pf3D7_02_v3	6634	-
Pf3D7_09_v3	1514064	-
Pf3D7_03_v3	24086	-
Pf3D7_02_v3	23889	+
Pf3D7_07_v3	14630	-
Pf3D7_05_v3	14846	-
Pf3D7_13_v3	9651	-
Pf3D7_04_v3	2738	-
Pf3D7_11_v3	16878	-
Pf3D7_10_v3	1680601	-
Pf3D7_09_v3	1523308	+
Pf3D7_13_v3	1871	+
Pf3D7_06_v3	1408244	-
Pf3D7_05_v3	18554	-
Pf3D7_02_v3	929462	+
Pf3D7_03_v3	1043731	+
Pf3D7_12_v3	2265795	-
Pf3D7_07_v3	6501	-
Pf3D7_04_v3	1194949	+
Pf3D7_03_v3	25381	-
Pf3D7_07_v3	5224	-
Pf3D7_10_v3	1167	-
Pf3D7_04_v3	15433	-
Pf3D7_10_v3	1665810	+
Pf3D7_09_v3	16440	+
Pf3D7_10_v3	1663973	-
Pf3D7_03_v3	1046328	+
Pf3D7_09_v3	1536472	+
Pf3D7_02_v3	941093	+
Pf3D7_05_v3	12456	-
Pf3D7_10_v3	26340	-
Pf3D7_09_v3	1533567	+
Pf3D7_03_v3	31267	-
Pf3D7_12_v3	12984	+
Pf3D7_01_v3	625801	+
Pf3D7_08_v3	1446068	-
Pf3D7_13_v3	2912904	-
Pf3D7_08_v3	15565	+
Pf3D7_10_v3	1687353	+
Pf3D7_08_v3	1463726	-
Pf3D7_10_v3	1671737	+
Pf3D7_09_v3	1525765	+
Pf3D7_09_v3	1508424	+
Pf3D7_03_v3	267	+
Pf3D7_10_v3	1652443	-
Pf3D7_03_v3	1065228	+
Pf3D7_13_v3	2918653	+
Pf3D7_03_v3	9391	+
Pf3D7_03_v3	1051350	+
Pf3D7_12_v3	7859	+
Pf3D7_03_v3	1046250	+
Pf3D7_05_v3	8514	+
Pf3D7_10_v3	9600	-
Pf3D7_02_v3	940156	-
Pf3D7_02_v3	941580	-
Pf3D7_07_v3	1428776	+
Pf3D7_03_v3	1052550	-
Pf3D7_03_v3	1067719	+
Pf3D7_01_v3	24956	-
Pf3D7_05_v3	15989	+
Pf3D7_04_v3	20400	-
Pf3D7_01_v3	125	+
Pf3D7_09_v3	18721	+
Pf3D7_09_v3	14131	+
Pf3D7_01_v3	638048	-
Pf3D7_04_v3	25229	+
Pf3D7_12_v3	4137	+
Pf3D7_08_v3	1444684	-
Pf3D7_06_v3	1406370	+
Pf3D7_07_v3	8992	+
Pf3D7_03_v3	742	+
Pf3D7_11_v3	6315	+
Pf3D7_13_v3	20263	+
Pf3D7_13_v3	7429	+
Pf3D7_03_v3	9421	-
Pf3D7_04_v3	18169	+
Pf3D7_02_v3	939473	-
Pf3D7_04_v3	9219	+
Pf3D7_04_v3	1197556	-
Pf3D7_09_v3	1525938	+
Pf3D7_03_v3	5792	+
Pf3D7_13_v3	6644	+
Pf3D7_02_v3	20560	-
Pf3D7_01_v3	2567	-
Pf3D7_12_v3	199	-
Pf3D7_10_v3	18126	-
Pf3D7_04_v3	1189635	+
Pf3D7_08_v3	1451499	-
Pf3D7_03_v3	17038	-
Pf3D7_02_v3	928520	-
Pf3D7_07_v3	7329	-
Pf3D7_04_v3	1185587	+
Pf3D7_09_v3	11271	+
Pf3D7_03_v3	24315	+
Pf3D7_09_v3	1538530	-
Pf3D7_10_v3	1653267	-
Pf3D7_02_v3	931784	-
Pf3D7_01_v3	7599	-
Pf3D7_06_v3	1403591	+
Pf3D7_10_v3	1670434	+
Pf3D7_09_v3	1537123	+
Pf3D7_10_v3	25375	-
Pf3D7_06_v3	1410338	-
Pf3D7_03_v3	1044869	-
Pf3D7_08_v3	829	-
Pf3D7_03_v3	32455	+
Pf3D7_10_v3	26031	-
Pf3D7_03_v3	9038	-
Pf3D7_04_v3	1295	-
Pf3D7_07_v3	1439386	-
Pf3D7_07_v3	1437712	-
Pf3D7_09_v3	17084	+
Pf3D7_06_v3	1403455	-
Pf3D7_13_v3	15545	+
Pf3D7_11_v3	18338	-
Pf3D7_12_v3	2249883	-
Pf3D7_09_v3	2854	-
Pf3D7_09_v3	1533455	+
Pf3D7_09_v3	3448	+
Pf3D7_06_v3	1390598	-
Pf3D7_04_v3	20877	-
Pf3D7_08_v3	1450121	+
Pf3D7_01_v3	4296	-
Pf3D7_01_v3	388	-
Pf3D7_12_v3	7629	-
Pf3D7_01_v3	18299	+
Pf3D7_08_v3	14889	-
Pf3D7_09_v3	17406	+
Pf3D7_03_v3	23506	-
Pf3D7_12_v3	2266179	-
Pf3D7_03_v3	7602	+
Pf3D7_12_v3	2257100	-
Pf3D7_10_v3	1661980	+
Pf3D7_03_v3	1041008	-
Pf3D7_02_v3	946396	+
Pf3D7_04_v3	6697	-
Pf3D7_06_v3	1399044	+
Pf3D7_03_v3	1049426	+
Pf3D7_14_v3	57	+
Pf3D7_03_v3	32606	-
Pf3D7_11_v3	5121	+
Pf3D7_02_v3	926627	+
Pf3D7_13_v3	2904591	+
Pf3D7_03_v3	5190	+
Pf3D7_06_v3	1418225	+
Pf3D7_08_v3	1449679	-
Pf3D7_02_v3	7340	-
Pf3D7_11_v3	6324	-
Pf3D7_03_v3	1039894	-
Pf3D7_08_v3	263	-
Pf3D7_08_v3	10438	+
Pf3D7_09_v3	4473	-
Pf3D7_01_v3	617806	+
Pf3D7_02_v3	930974	-
Pf3D7_02_v3	930580	+
Pf3D7_04_v3	11772	-
Pf3D7_02_v3	946929	+
Pf3D7_13_v3	6275	+
Pf3D7_07_v3	1439824	+
Pf3D7_09_v3	14771	-
Pf3D7_04_v3	1182022	+
Pf3D7_03_v3	1053590	+
Pf3D7_07_v3	1435159	+
Pf3D7_04_v3	14093	-
Pf3D7_04_v3	1184376	-
Pf3D7_06_v3	1399615	-
Pf3D7_07_v3	1429222	-
Pf3D7_13_v3	2923536	+
Pf3D7_03_v3	21190	-
Pf3D7_07_v3	1427611	+
Pf3D7_02_v3	935851	+
Pf3D7_04_v3	1199057	+
Pf3D7_10_v3	20511	+
Pf3D7_03_v3	9852	+
Pf3D7_08_v3	1469735	-
Pf3D7_06_v3	1389880	-
Pf3D7_01_v3	621907	+
Pf3D7_13_v3	3169	+
Pf3D7_06_v3	1415561	-
Pf3D7_10_v3	1677214	+
Pf3D7_06_v3	1401458	-
Pf3D7_13_v3	13655	+
Pf3D7_04_v3	7185	-
Pf3D7_06_v3	1385880	-
Pf3D7_10_v3	1681968	+
Pf3D7_04_v3	1199794	+
Pf3D7_05_v3	716	-
Pf3D7_13_v3	2895462	+
Pf3D7_08_v3	1460244	+
Pf3D7_09_v3	1505714	+
Pf3D7_09_v3	1531257	+
Pf3D7_11_v3	22044	-
Pf3D7_12_v3	4550	+
Pf3D7_08_v3	1452683	+
Pf3D7_04_v3	23968	-
Pf3D7_01_v3	10235	-
Pf3D7_09_v3	4619	-
Pf3D7_11_v3	1966	-
Pf3D7_06_v3	1412666	+
Pf3D7_02_v3	945416	-
Pf3D7_04_v3	2181	+
Pf3D7_07_v3	1441616	-
Pf3D7_11_v3	3730	-
Pf3D7_03_v3	5013	-
Pf3D7_09_v3	7323	-
Pf3D7_10_v3	1666877	+
Pf3D7_13_v3	17461	+
Pf3D7_02_v3	16968	-
Pf3D7_13_v3	2956	+
Pf3D7_09_v3	11226	-
Pf3D7_10_v3	1683062	-
Pf3D7_01_v3	632354	+
Pf3D7_07_v3	1431169	-
Pf3D7_09_v3	2477	-
Pf3D7_04_v3	12561	-
Pf3D7_06_v3	1399863	+
Pf3D7_08_v3	1454348	+
Pf3D7_08_v3	1447405	+
Pf3D7_01_v3	3395	+
Pf3D7_06_v3	1401840	+
Pf3D7_03_v3	34084	+
Pf3D7_13_v3	12225	+
Pf3D7_13_v3	2907597	+
Pf3D7_04_v3	25850	-
Pf3D7_03_v3	24917	-
Pf3D7_03_v3	25913	-
Pf3D7_07_v3	11271	+
Pf3D7_12_v3	2266319	-
Pf3D7_07_v3	1436126	-
Pf3D7_01_v3	631347	+
Pf3D7_01_v3	17717	-
Pf3D7_03_v3	27167	+
Pf3D7_11_v3	2038111	-
Pf3D7_09_v3	5656	+
Pf3D7_08_v3	1464231	-
Pf3D7_04_v3	879	+
Pf3D7_13_v3	10887	-
Pf3D7_04_v3	1198520	-
Pf3D7_11_v3	15045	+
Pf3D7_12_v3	2255512	+
Pf3D7_07_v3	11880	+
Pf3D7_12_v3	2257477	+
Pf3D7_03_v3	1051623	+
Pf3D7_09_v3	1512680	-
Pf3D7_01_v3	631415	-
Pf3D7_07_v3	3886	-
Pf3D7_03_v3	16011	-
Pf3D7_01_v3	639324	-
Pf3D7_01_v3	21770	+
Pf3D7_04_v3	11502	-
Pf3D7_08_v3	1471919	+
Pf3D7_07_v3	274	-
Pf3D7_04_v3	26643	+
Pf3D7_13_v3	2904895	+
Pf3D7_13_v3	16780	+
Pf3D7_02_v3	22976	-
Pf3D7_06_v3	1404375	-
Pf3D7_09_v3	1527074	-
Pf3D7_10_v3	20690	+
Pf3D7_05_v3	4830	-
Pf3D7_10_v3	1657336	-
Pf3D7_02_v3	8334	+
Pf3D7_04_v3	1190355	-
Pf3D7_10_v3	20511	-
Pf3D7_09_v3	4946	+
Pf3D7_11_v3	13170	+
Pf3D7_01_v3	101	+
Pf3D7_03_v3	1117	-
Pf3D7_01_v3	640015	-
Pf3D7_03_v3	30691	-
Pf3D7_01_v3	24822	-
Pf3D7_07_v3	1432973	+
Pf3D7_08_v3	10454	+
Pf3D7_09_v3	1529491	+
Pf3D7_05_v3	5120	+
Pf3D7_01_v3	21391	-
Pf3D7_09_v3	1530179	-
Pf3D7_01_v3	625946	-
Pf3D7_12_v3	7066	-
Pf3D7_01_v3	8832	+
Pf3D7_08_v3	16348	-
Pf3D7_12_v3	2271209	+
Pf3D7_08_v3	1472792	-
Pf3D7_09_v3	14827	-
Pf3D7_09_v3	1517234	-
Pf3D7_02_v3	18940	-
Pf3D7_09_v3	1513294	+
Pf3D7_12_v3	2269237	-
Pf3D7_13_v3	2902235	-
Pf3D7_06_v3	1397449	-
Pf3D7_04_v3	1182852	+
Pf3D7_10_v3	1653769	+
Pf3D7_08_v3	8019	-
Pf3D7_03_v3	1055000	+
Pf3D7_03_v3	629	-
Pf3D7_03_v3	30542	+
Pf3D7_07_v3	2242	-
Pf3D7_03_v3	36037	+
Pf3D7_01_v3	7807	-
Pf3D7_01_v3	625235	+
Pf3D7_13_v3	3269	-
Pf3D7_01_v3	636436	+
Pf3D7_01_v3	634116	-
Pf3D7_06_v3	1386155	+
Pf3D7_03_v3	1042178	-
Pf3D7_13_v3	2912964	-
Pf3D7_13_v3	17705	-
Pf3D7_06_v3	1387244	+
Pf3D7_06_v3	1391119	+
Pf3D7_05_v3	10985	+
Pf3D7_01_v3	3121	+
Pf3D7_04_v3	8454	-
Pf3D7_02_v3	246	-
Pf3D7_02_v3	12104	+
Pf3D7_08_v3	1464684	-
Pf3D7_02_v3	9990	+
Pf3D7_02_v3	6223	-
Pf3D7_07_v3	8314	+
Pf3D7_06_v3	1401162	-
Pf3D7_02_v3	928113	+
Pf3D7_01_v3	3208	+
Pf3D7_03_v3	6563	+
Pf3D7_03_v3	1067547	+
Pf3D7_10_v3	1677436	-
Pf3D7_13_v3	2564	-
Pf3D7_06_v3	1393914	+
Pf3D7_06_v3	1397764	+
Pf3D7_10_v3	5004	-
Pf3D7_09_v3	16369	-
Pf3D7_03_v3	33950	+
Pf3D7_02_v3	5939	-
Pf3D7_06_v3	1383996	-
Pf3D7_08_v3	1451902	-
Pf3D7_02_v3	937600	-
Pf3D7_04_v3	22442	+
Pf3D7_04_v3	9425	+
Pf3D7_03_v3	1047015	-
Pf3D7_07_v3	4876	+
Pf3D7_09_v3	1504203	+
Pf3D7_07_v3	1427237	-
Pf3D7_03_v3	15446	+
Pf3D7_02_v3	14975	-
Pf3D7_11_v3	293	+
Pf3D7_07_v3	3924	+
Pf3D7_01_v3	638583	+
Pf3D7_03_v3	1067685	+
Pf3D7_11_v3	14966	-
Pf3D7_10_v3	1670011	-
Pf3D7_12_v3	2262394	-
Pf3D7_09_v3	7121	-
Pf3D7_06_v3	1390439	+
Pf3D7_06_v3	1396511	+
Pf3D7_03_v3	25264	-
Pf3D7_09_v3	1529036	+
Pf3D7_08_v3	1463602	-
Pf3D7_02_v3	938197	-
Pf3D7_12_v3	2250989	-
Pf3D7_05_v3	12619	-
Pf3D7_01_v3	637855	-
Pf3D7_04_v3	1193660	-
Pf3D7_12_v3	9416	-
Pf3D7_13_v3	4579	+
Pf3D7_07_v3	1441425	+
Pf3D7_13_v3	2908017	-
Pf3D7_12_v3	2255408	+
Pf3D7_11_v3	11423	-
Pf3D7_12_v3	1984	+
Pf3D7_05_v3	18661	-
Pf3D7_10_v3	1676680	-
Pf3D7_08_v3	1453601	-
Pf3D7_10_v3	21920	-
Pf3D7_03_v3	1956	+
Pf3D7_10_v3	10659	+
Pf3D7_13_v3	2914291	+
Pf3D7_04_v3	658	+
Pf3D7_13_v3	2916091	-
Pf3D7_05_v3	16483	-
Pf3D7_03_v3	21445	+
Pf3D7_02_v3	4998	+
Pf3D7_10_v3	1678400	-
Pf3D7_08_v3	1453957	-
Pf3D7_04_v3	20427	-
Pf3D7_09_v3	12075	-
Pf3D7_04_v3	1182854	+
Pf3D7_06_v3	1386900	+
Pf3D7_12_v3	247	+
Pf3D7_09_v3	1506804	+
Pf3D7_10_v3	1661822	+
Pf3D7_08_v3	1445022	+
Pf3D7_13_v3	2923305	-
Pf3D7_03_v3	1065567	+
Pf3D7_03_v3	1044110	-
Pf3D7_02_v3	7551	-
Pf3D7_08_v3	1465454	-
Pf3D7_09_v3	12698	-
Pf3D7_10_v3	16059	-
Pf3D7_04_v3	1200281	+
Pf3D7_01_v3	18097	+
Pf3D7_09_v3	1529293	-
Pf3D7_14_v3	637	-
Pf3D7_04_v3	14576	+
Pf3D7_03_v3	10505	+
Pf3D7_04_v3	14460	+
Pf3D7_06_v3	1415393	+
Pf3D7_03_v3	1050002	-
Pf3D7_04_v3	1183628	+
Pf3D7_09_v3	1526671	-
Pf3D7_04_v3	1196312	-
Pf3D7_06_v3	1416807	-
Pf3D7_01_v3	15579	+
Pf3D7_13_v3	16111	+
Pf3D7_06_v3	1392142	+
Pf3D7_04_v3	1189289	-
Pf3D7_01_v3	626242	-
Pf3D7_09_v3	1516608	+
Pf3D7_12_v3	11638	+
Pf3D7_01_v3	25388	-
Pf3D7_02_v3	931775	-
Pf3D7_02_v3	927432	-
Pf3D7_09_v3	15865	-
Pf3D7_13_v3	17369	-
Pf3D7_06_v3	1415976	+
Pf3D7_04_v3	1185999	+
Pf3D7_10_v3	1677292	-
Pf3D7_10_v3	1677166	+
Pf3D7_03_v3	1061916	-
Pf3D7_02_v3	942692	-
Pf3D7_04_v3	1199567	+
Pf3D7_10_v3	1668363	+
Pf3D7_10_v3	2096	+
Pf3D7_09_v3	1511332	-
Pf3D7_11_v3	20675	-
Pf3D7_03_v3	1063495	-
Pf3D7_04_v3	1181252	-
Pf3D7_01_v3	10560	-
Pf3D7_12_v3	3985	+
Pf3D7_08_v3	1453434	+
Pf3D7_04_v3	17732	-
Pf3D7_01_v3	628529	-
Pf3D7_10_v3	13278	-
Pf3D7_10_v3	1666817	+
Pf3D7_09_v3	1528246	+
Pf3D7_03_v3	24655	+
Pf3D7_13_v3	889	+
Pf3D7_10_v3	1655829	-
Pf3D7_09_v3	1516936	+
Pf3D7_09_v3	1520494	+
Pf3D7_12_v3	2271412	-
Pf3D7_13_v3	18230	-
Pf3D7_08_v3	1462790	+
Pf3D7_06_v3	1384675	-
Pf3D7_05_v3	2029	-
Pf3D7_11_v3	10665	-
Pf3D7_09_v3	1526192	+
Pf3D7_01_v3	632315	-
Pf3D7_02_v3	927572	-
Pf3D7_12_v3	2269044	-
Pf3D7_12_v3	2260434	-
Pf3D7_13_v3	2912483	+
Pf3D7_06_v3	1384788	-
Pf3D7_10_v3	1681182	-
Pf3D7_11_v3	12663	-
Pf3D7_04_v3	6182	+
Pf3D7_02_v3	931599	-
Pf3D7_13_v3	2904917	-
Pf3D7_01_v3	778	-
Pf3D7_08_v3	1471155	+
Pf3D7_09_v3	1534320	+
Pf3D7_09_v3	1537443	-
Pf3D7_03_v3	1049331	-
Pf3D7_10_v3	15406	+
Pf3D7_03_v3	16541	+
Pf3D7_11_v3	11088	+
Pf3D7_03_v3	21257	+
Pf3D7_10_v3	12454	+
Pf3D7_10_v3	1679292	+
Pf3D7_03_v3	2122	+
Pf3D7_03_v3	1044688	-
Pf3D7_10_v3	1683686	+
Pf3D7_01_v3	637893	-
Pf3D7_03_v3	29531	+
Pf3D7_07_v3	7225	+
Pf3D7_13_v3	9328	+
Pf3D7_08_v3	1445010	+
Pf3D7_05_v3	5629	-
Pf3D7_13_v3	2916647	+
Pf3D7_07_v3	6719	+
Pf3D7_06_v3	1400144	-
Pf3D7_06_v3	1387708	-
Pf3D7_04_v3	13778	+
Pf3D7_04_v3	20035	+
Pf3D7_09_v3	1525630	+
Pf3D7_01_v3	15996	-
Pf3D7_09_v3	1538520	-
Pf3D7_03_v3	8450	+
Pf3D7_05_v3	6032	+
Pf3D7_02_v3	938522	-
Pf3D7_08_v3	1457983	-
Pf3D7_10_v3	27037	-
Pf3D7_04_v3	1182197	-
Pf3D7_02_v3	927127	-
Pf3D7_03_v3	12344	+
Pf3D7_11_v3	10691	+
Pf3D7_03_v3	1064812	-
Pf3D7_10_v3	1668997	-
Pf3D7_04_v3	1189541	+
Pf3D7_03_v3	6021	+
Pf3D7_10_v3	11990	-
Pf3D7_07_v3	10415	+
Pf3D7_01_v3	16775	-
Pf3D7_13_v3	2912865	+
Pf3D7_02_v3	934121	+
Pf3D7_04_v3	1184097	-
Pf3D7_05_v3	3077	+
Pf3D7_07_v3	1429801	+
Pf3D7_10_v3	1673587	+
Pf3D7_01_v3	24607	-
Pf3D7_13_v3	18055	-
Pf3D7_09_v3	1515815	+
Pf3D7_13_v3	2896340	+
Pf3D7_11_v3	14699	+
Pf3D7_13_v3	785	+
Pf3D7_09_v3	12047	+
Pf3D7_04_v3	1188489	-
Pf3D7_06_v3	1412642	+
Pf3D7_09_v3	1527634	+
Pf3D7_06_v3	1409185	-
Pf3D7_10_v3	11203	+
Pf3D7_02_v3	20383	-
Pf3D7_11_v3	12245	-
Pf3D7_03_v3	22567	-
Pf3D7_13_v3	7373	+
Pf3D7_02_v3	934572	+
Pf3D7_02_v3	20372	+
Pf3D7_11_v3	9178	+
Pf3D7_11_v3	499	-
Pf3D7_10_v3	10466	-
Pf3D7_13_v3	2906146	+
Pf3D7_03_v3	1051199	+
Pf3D7_11_v3	1648	-
Pf3D7_04_v3	1183552	+
Pf3D7_08_v3	6594	-
Pf3D7_06_v3	1398183	-
Pf3D7_01_v3	834	-
Pf3D7_08_v3	1455395	+
Pf3D7_10_v3	1662577	-
Pf3D7_03_v3	1248	+
Pf3D7_13_v3	5120	+
Pf3D7_08_v3	5599	+
Pf3D7_03_v3	5181	-
Pf3D7_09_v3	1532397	-
Pf3D7_03_v3	2613	+
Pf3D7_01_v3	630238	+
Pf3D7_09_v3	1529138	-
Pf3D7_02_v3	19548	-
Pf3D7_02_v3	13230	-
Pf3D7_10_v3	14984	+
Pf3D7_01_v3	634836	+
Pf3D7_11_v3	19916	+
Pf3D7_10_v3	1658549	-
Pf3D7_02_v3	942461	+
Pf3D7_08_v3	9409	+
Pf3D7_02_v3	2384	-
Pf3D7_09_v3	1527147	-
Pf3D7_01_v3	640273	+
Pf3D7_13_v3	2898257	-
Pf3D7_03_v3	533	-
Pf3D7_09_v3	1538593	+
Pf3D7_02_v3	14473	+
Pf3D7_03_v3	7908	+
Pf3D7_06_v3	1411017	+
Pf3D7_08_v3	1455516	+
Pf3D7_14_v3	421	+
Pf3D7_01_v3	8328	-
Pf3D7_01_v3	17200	-
Pf3D7_04_v3	1183654	-
Pf3D7_05_v3	7295	+
Pf3D7_12_v3	2256328	-
Pf3D7_13_v3	1240	-
Pf3D7_12_v3	2266325	-
Pf3D7_02_v3	924534	-
Pf3D7_06_v3	1416840	+
Pf3D7_10_v3	1654267	-
Pf3D7_04_v3	9944	-
Pf3D7_09_v3	1507799	-
Pf3D7_03_v3	1049713	+
Pf3D7_04_v3	16957	-
Pf3D7_12_v3	1422	-
Pf3D7_03_v3	1054298	-
Pf3D7_13_v3	2918074	+
Pf3D7_04_v3	12643	+
Pf3D7_01_v3	3232	-
Pf3D7_03_v3	1059087	-
Pf3D7_03_v3	6731	+
Pf3D7_07_v3	1427288	-
Pf3D7_02_v3	10592	-
Pf3D7_09_v3	5209	+
Pf3D7_12_v3	2250291	+
Pf3D7_05_v3	15660	-
Pf3D7_02_v3	937992	-
Pf3D7_06_v3	1415108	-
Pf3D7_10_v3	1668488	-
Pf3D7_08_v3	1456789	+
Pf3D7_02_v3	20433	+
Pf3D7_08_v3	1659	-
Pf3D7_07_v3	7086	-
Pf3D7_04_v3	1196575	+
Pf3D7_02_v3	7094	-
Pf3D7_13_v3	2921631	+
Pf3D7_03_v3	10252	+
Pf3D7_03_v3	14931	+
Pf3D7_02_v3	944766	+
Pf3D7_08_v3	1451229	-
Pf3D7_06_v3	1417132	-
Pf3D7_03_v3	1040401	+
Pf3D7_06_v3	1392675	-
Pf3D7_09_v3	1526343	-
Pf3D7_04_v3	16491	-
Pf3D7_13_v3	18602	+
Pf3D7_04_v3	26642	-
Pf3D7_03_v3	24468	+
Pf3D7_13_v3	2914553	+
Pf3D7_11_v3	7398	-
Pf3D7_04_v3	1196710	+
Pf3D7_11_v3	14991	+
Pf3D7_08_v3	490	-
Pf3D7_04_v3	1197224	-
Pf3D7_11_v3	8387	+
Pf3D7_10_v3	1668320	+
Pf3D7_04_v3	13493	+
Pf3D7_09_v3	15756	-
Pf3D7_05_v3	5397	-
Pf3D7_01_v3	11262	-
Pf3D7_13_v3	2895068	+
Pf3D7_08_v3	7092	+
Pf3D7_08_v3	1446809	+
Pf3D7_09_v3	11206	+
Pf3D7_08_v3	18176	-
Pf3D7_04_v3	12899	+
Pf3D7_13_v3	2922477	-
Pf3D7_09_v3	18781	-
Pf3D7_09_v3	1506120	+
Pf3D7_07_v3	10117	-
Pf3D7_04_v3	14664	-
Pf3D7_01_v3	625390	+
Pf3D7_04_v3	1197192	+
Pf3D7_03_v3	14255	+
Pf3D7_09_v3	1506172	+
Pf3D7_12_v3	2261628	-
Pf3D7_04_v3	5605	-
Pf3D7_04_v3	1187941	+
Pf3D7_09_v3	1522986	-
Pf3D7_02_v3	940796	-
Pf3D7_13_v3	5687	+
Pf3D7_05_v3	7668	-
Pf3D7_02_v3	1647	+
Pf3D7_03_v3	13866	+
Pf3D7_13_v3	11863	+
Pf3D7_03_v3	1056925	-
Pf3D7_09_v3	1515132	-
Pf3D7_02_v3	925726	+
Pf3D7_03_v3	20838	+
Pf3D7_12_v3	2263973	+
Pf3D7_02_v3	926280	-
Pf3D7_01_v3	14510	-
Pf3D7_07_v3	1428715	+
Pf3D7_12_v3	7362	-
Pf3D7_04_v3	1193503	-
Pf3D7_02_v3	17441	-
Pf3D7_13_v3	2916250	-
Pf3D7_09_v3	1532636	-
Pf3D7_12_v3	3921	-
Pf3D7_10_v3	1681985	+
Pf3D7_10_v3	9655	+
Pf3D7_05_v3	7550	-
Pf3D7_04_v3	21861	+
Pf3D7_10_v3	9030	-
Pf3D7_10_v3	2068	-
Pf3D7_13_v3	2916268	+
Pf3D7_08_v3	1463170	-
Pf3D7_04_v3	16150	+
Pf3D7_07_v3	1429593	-
Pf3D7_09_v3	12144	-
Pf3D7_06_v3	1390329	+
Pf3D7_10_v3	1671260	-
Pf3D7_08_v3	1458773	+
Pf3D7_01_v3	22203	+
Pf3D7_08_v3	1472138	-
Pf3D7_09_v3	1511248	-
Pf3D7_13_v3	2346	+
Pf3D7_06_v3	1402771	+
Pf3D7_08_v3	1471436	+
Pf3D7_07_v3	3098	+
Pf3D7_08_v3	9918	-
Pf3D7_01_v3	625945	+
Pf3D7_12_v3	2256611	-
Pf3D7_13_v3	13575	-
Pf3D7_08_v3	6013	-
Pf3D7_08_v3	1458350	+
Pf3D7_01_v3	636964	-
